id,speed
0,47.625717
1,46.518322
2,39.40704
3,29.703777
4,42.303547
5,26.858057
6,19.820772
7,47.95272
8,47.317535
9,34.23573
10,28.095522
11,20.504578
12,18.165464
13,29.603142
14,24.083317
15,39.86185
16,41.25969
17,43.287884
18,48.397934
19,47.83437
20,46.98431
21,44.460255
22,16.630423
23,22.194403
24,24.845917
25,16.926294
26,17.513702
27,17.00756
28,11.266787
29,8.732658
30,22.778475
31,44.5377
32,48.40875
33,29.644278
34,23.992079
35,22.803265
36,18.190638
37,19.5825
38,44.72309
39,36.377934
40,41.463055
41,47.753468
42,48.52505
43,45.37706
44,17.82338
45,15.763136
46,17.4034
47,9.477249
48,45.155376
49,48.2238
50,48.153255
51,22.771717
52,23.574762
53,20.7959
54,18.092056
55,17.532621
56,16.697878
57,17.931032
58,31.78378
59,34.95615
60,40.581074
61,40.04847
62,40.713528
63,42.12389
64,44.59964
65,47.38057
66,47.47782
67,46.281425
68,44.55602
69,28.415672
70,23.208275
71,23.054178
72,18.784756
73,19.882074
74,15.366348
75,8.111374
76,43.45249
77,40.269352
78,42.61494
79,47.38053
80,14.091007
81,16.159462
82,19.471022
83,15.313368
84,17.499744
85,13.107374
86,21.71126
87,36.987946
88,44.327965
89,40.819153
90,48.58894
91,47.972755
92,47.290436
93,45.694603
94,22.211554
95,13.860422
96,25.966
97,14.811928
98,8.732658
99,18.742414
100,42.49366
101,47.103325
102,13.699848
103,17.399733
104,13.540844
105,43.625515
106,35.44885
107,48.7313
108,45.406906
109,13.519903
110,10.478872
111,9.117859
112,23.10639
113,35.459095
114,37.38204
115,47.59971
116,47.565327
117,41.88748
118,30.375414
119,22.444609
120,19.70838
121,15.066029
122,36.624416
123,46.977943
124,46.49422
125,42.36624
126,42.68973
127,39.59704
128,43.54611
129,31.032303
130,47.27816
131,46.801243
132,46.26141
133,24.52557
134,19.370676
135,22.60306
136,39.344322
137,45.49679
138,48.254055
139,46.834305
140,46.38495
141,44.40918
142,27.67347
143,13.848274
144,20.216717
145,16.983185
146,17.451958
147,47.846565
148,48.70241
149,47.936405
150,47.52822
151,15.66473
152,15.786051
153,14.295492
154,8.0663185
155,20.563753
156,36.512165
157,44.427536
158,40.09927
159,43.522102
160,47.64698
161,48.32051
162,47.967117
163,47.430912
164,45.555534
165,28.520914
166,13.715343
167,21.356264
168,17.46979
169,18.364468
170,11.908615
171,10.406343
172,45.09744
173,48.34107
174,44.94804
175,27.293371
176,19.00523
177,14.293489
178,18.135302
179,9.057844
180,46.467426
181,47.658737
182,48.26994
183,47.543762
184,42.209934
185,20.286283
186,19.950506
187,38.025845
188,34.44706
189,47.302944
190,43.615246
191,43.594463
192,39.7466
193,40.787308
194,39.160828
195,38.46487
196,41.217762
197,43.318386
198,36.804405
199,47.19081
200,46.271122
201,27.456919
202,25.493004
203,17.772251
204,15.20941
205,19.000965
206,40.297504
207,42.10174
208,47.580765
209,47.95488
210,46.94367
211,46.964157
212,29.468262
213,12.8356285
214,19.461414
215,22.70389
216,18.262291
217,24.144005
218,45.109028
219,47.650074
220,47.130127
221,44.308956
222,28.869024
223,16.354788
224,8.424997
225,25.311483
226,45.072914
227,47.44632
228,15.764828
229,22.566101
230,19.567465
231,21.560276
232,42.944195
233,48.068382
234,47.326385
235,18.776894
236,25.939318
237,20.447012
238,21.322487
239,44.87436
240,34.77584
241,36.888054
242,46.852203
243,48.282665
244,47.636196
245,48.354744
246,28.107738
247,21.799738
248,17.587664
249,19.01321
250,19.064152
251,31.060081
252,41.631695
253,35.715153
254,35.38134
255,46.780197
256,46.515102
257,45.662937
258,42.813446
259,42.023632
260,40.787308
261,40.221664
262,40.88964
263,43.8347
264,33.544025
265,44.732265
266,47.502064
267,44.577374
268,18.345875
269,20.539658
270,17.885977
271,17.75115
272,18.39902
273,13.320662
274,44.684288
275,46.776295
276,47.539383
277,46.643402
278,29.61951
279,13.666761
280,15.565212
281,23.114706
282,19.759
283,17.191545
284,13.042196
285,12.225647
286,47.765522
287,48.529408
288,12.256014
289,13.926846
290,16.238153
291,11.266787
292,8.732658
293,23.803665
294,45.615154
295,48.27794
296,47.523006
297,35.892754
298,17.641882
299,31.781822
300,25.018507
301,17.06539
302,23.818195
303,44.198936
304,42.80518
305,49.585342
306,47.756485
307,48.660908
308,45.73482
309,27.27628
310,16.569443
311,8.800512
312,44.236042
313,34.77584
314,37.59636
315,48.237568
316,46.969036
317,39.089714
318,34.611744
319,34.79926
320,43.782906
321,46.324497
322,45.862816
323,47.56126
324,44.61641
325,40.757053
326,41.119953
327,41.72785
328,41.225258
329,38.807175
330,36.186935
331,41.925728
332,44.310303
333,35.936726
334,35.209305
335,45.014854
336,46.500412
337,46.63959
338,14.50489
339,20.240955
340,20.603949
341,24.078709
342,43.780956
343,43.547462
344,48.10645
345,47.59281
346,47.23379
347,16.656607
348,37.56467
349,49.198967
350,48.202805
351,47.40754
352,29.350775
353,13.931223
354,23.613922
355,17.37935
356,17.580906
357,19.829237
358,36.512165
359,45.309586
360,45.230236
361,48.955544
362,15.616413
363,23.731693
364,18.742498
365,16.916052
366,11.57263
367,24.10173
368,43.63743
369,49.050396
370,48.20901
371,47.38429
372,47.1228
373,14.98428
374,18.15381
375,9.186913
376,19.852814
377,35.77052
378,36.888054
379,46.84111
380,30.549692
381,17.688622
382,16.978725
383,29.2875
384,47.16395
385,47.07505
386,46.014236
387,44.143955
388,41.37058
389,40.22733
390,36.15847
391,30.773647
392,46.98156
393,47.601944
394,46.42975
395,16.463358
396,16.852411
397,23.060259
398,21.797062
399,16.869125
400,10.369394
401,33.27433
402,40.142014
403,48.059647
404,46.48146
405,44.40918
406,31.145662
407,17.03347
408,17.540848
409,18.763657
410,21.420473
411,10.324654
412,44.274456
413,39.342487
414,43.287884
415,47.90209
416,47.57095
417,47.39011
418,47.43734
419,33.373184
420,16.178684
421,8.345318
422,43.444813
423,41.049984
424,47.827118
425,48.39528
426,45.780293
427,32.749313
428,24.324842
429,41.94006
430,39.799664
431,46.56967
432,46.773937
433,45.17555
434,27.079582
435,30.854277
436,25.888681
437,23.091228
438,47.38916
439,47.89564
440,48.754917
441,40.53358
442,37.36204
443,35.846645
444,35.511837
445,36.90995
446,33.22423
447,37.373863
